Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Hopewell Culture NHP,,,,,"4,261","2,997",,,"-1,264","6,228",,"4,944",,"-1,284",
Hopewell Furnace NHS,,,,,"2,845","1,520",,,"-1,325","4,307",,"3,304",,"-1,003",
Horseshoe Bend NMP,,,,,"12,034","10,383",,,"-1,651","20,095",,"18,133",,"-1,962",
Hot Springs NP,,,,,"648,557","649,007",,,450,"1,065,455",,"981,441",,"-84,014",
Hovenweep NM,,,,,"1,785","2,934",,,"1,149","2,781",,"4,273",,"1,492",
Hubbell Trading Post NHS,,,,,"1,364","1,472",,,108,"2,728",,"2,884",,156,
Ice Age NST,,,,,"1,795","1,048",,,-747,"4,397",,"1,845",,"-2,552",
Independence NHP,,,,,"226,275","154,367",,,"-71,908","398,802",,"318,213",,"-80,589",
Indiana Dunes NP,,,,,"184,710","127,452",,,"-57,258","307,960",,"294,703",,"-13,257",
James A. Garfield NHS,,,,,"5,334","4,410",,,-924,"7,208",,"5,930",,"-1,278",
Jean Lafitte NHP & PRES,,,,,"21,722","17,434",,,"-4,288","36,560",,"38,050",,"1,490",
Jewel Cave NM,,,,,"2,116","1,040",,,"-1,076","3,422",,"1,638",,"-1,784",
Jimmy Carter NHP,,,,,"3,242","3,242",,,0,"5,088",,"9,704",,"4,616",
"John D. Rockefeller, Jr. MEM PKWY",,,,,424,"1,816",,,"1,392",928,,"3,456",,"2,528",
John Day Fossil Beds NM,,,,,"2,708","1,715",,,-993,"4,699",,"3,781",,-918,
John F. Kennedy NHS,,,,,4,54,,,50,12,,118,,106,
John Muir NHS,,,,,"4,484","5,000",,,516,"9,101",,"9,164",,63,
Johnstown Flood NMEM,,,,,"2,347","3,098",,,751,"3,560",,"5,262",,"1,702",
Joshua Tree NP,,,,,"1,762,413","1,660,047",,,"-102,366","3,396,746",,"3,317,191",,"-79,555",
Kalaupapa NHP,,,,,"7,754","5,838",,,"-1,916","16,198",,"12,214",,"-3,984",
Kaloko Honokohau NHP,,,,,"70,569","72,672",,,"2,103","145,735",,"144,848",,-887,
Katahdin Woods and Waters NM,,,,,"33,778","29,570",,,"-4,208","48,572",,"34,930",,"-13,642",
Kenai Fjords NP,,,,,773,539,,,-234,"1,465",,"1,149",,-316,
Kennesaw Mountain NBP,,,,,"172,149","154,278",,,"-17,871","281,485",,"252,753",,"-28,732",
Keweenaw NHP,,,,,474,517,,,43,548,,607,,59,
Kings Canyon NP,,,,,"61,353","76,267",,,"14,914","136,380",,"188,829",,"52,449",
Kings Mountain NMP,,,,,"7,200","7,290",,,90,"11,915",,"13,258",,"1,343",
Klondike Gold Rush NHP Seattle,,,,,"5,684","5,859",,,175,"11,013",,"12,213",,"1,200",
