Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Golden Gate NRA,,,,,"1,011,051","1,001,568",,,"-9,483","2,067,027",,"2,052,005",,"-15,022",
Golden Spike NHP,,,,,"1,639","1,234",,,-405,"2,426",,"2,432",,6,
Governors Island NM,,,,,0,264,,,264,0,,355,,355,
Grand Canyon NP,,,,,"191,721","206,935",,,"15,214","367,569",,"398,797",,"31,228",
Grand Portage NM,,,,,"1,310","1,137",,,-173,"3,078",,"2,494",,-584,
Grand Teton NP,,,,,"56,180","53,580",,,"-2,600","107,878",,"104,325",,"-3,553",
Grant-Kohrs Ranch NHS,,,,,451,516,,,65,"1,039",,968,,-71,
Great Basin NP,,,,,"2,336","1,760",,,-576,"3,710",,"5,783",,"2,073",
Great Sand Dunes NP & PRES,,,,,"6,720","7,958",,,"1,238","10,758",,"13,433",,"2,675",
Great Smoky Mountains NP,,,,,"472,412","410,648",,,"-61,764","880,216",,"700,056",,"-180,160",
Greenbelt Park,,,,,"5,390","6,109",,,719,"7,600",,"11,102",,"3,502",
Guadalupe Mountains NP,,,,,"16,240","16,664",,,424,"26,805",,"25,356",,"-1,449",
Guilford Courthouse NMP,,,,,"34,154","31,825",,,"-2,329","65,014",,"57,605",,"-7,409",
Gulf Islands NS,,,,,"545,258","613,357",,,"68,099","1,026,548",,"1,103,728",,"77,180",
Hagerman Fossil Beds NM,,,,,645,432,,,-213,805,,781,,-24,
Haleakala NP,,,,,"53,964","60,141",,,"6,177","114,716",,"119,668",,"4,952",
Hamilton Grange NMEM,,,,,"4,792","5,478",,,686,"7,396",,"11,253",,"3,857",
Hampton NHS,,,,,"1,042",378,,,-664,"1,562",,629,,-933,
Harpers Ferry NHP,,,,,"11,873","4,423",,,"-7,450","18,964",,"7,633",,"-11,331",
Harriet Tubman Underground Railroad NHP,,,,,"1,110","1,110",,,0,"1,680",,"1,680",,0,
Harry S Truman NHS,,,,,810,627,,,-183,"1,289",,"1,273",,-16,
Hawaii Volcanoes NP,,,,,"132,112","158,216",,,"26,104","268,732",,"339,333",,"70,601",
Herbert Hoover NHS,,,,,"7,322","7,470",,,148,"12,213",,"13,391",,"1,178",
Home of Franklin D. Roosevelt NHS,,,,,"6,276","3,388",,,"-2,888","8,942",,"6,575",,"-2,367",
Homestead NHP,,,,,"2,777","1,005",,,"-1,772","4,557",,"1,986",,"-2,571",
Hopewell Culture NHP,,,,,"2,130","1,499",,,-631,"3,113",,"2,473",,-640,
Hopewell Furnace NHS,,,,,"2,338","1,233",,,"-1,105","3,523",,"2,686",,-837,
