Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Hagerman Fossil Beds NM,,,,,160,349,,,189,160,,349,,189,
Haleakala NP,,,,,"60,752","59,527",,,"-1,225","60,752",,"59,527",,"-1,225",
Hamilton Grange NMEM,,,,,"2,604","5,775",,,"3,171","2,604",,"5,775",,"3,171",
Hampton NHS,,,,,520,251,,,-269,520,,251,,-269,
Harpers Ferry NHP,,,,,"7,091","3,210",,,"-3,881","7,091",,"3,210",,"-3,881",
Harriet Tubman Underground Railroad NHP,,,,,570,570,,,0,570,,570,,0,
Harry S Truman NHS,,,,,479,646,,,167,479,,646,,167,
Hawaii Volcanoes NP,,,,,"136,620","181,117",,,"44,497","136,620",,"181,117",,"44,497",
Herbert Hoover NHS,,,,,"4,891","5,921",,,"1,030","4,891",,"5,921",,"1,030",
Home of Franklin D. Roosevelt NHS,,,,,"2,666","3,187",,,521,"2,666",,"3,187",,521,
Homestead NHP,,,,,"1,780",981,,,-799,"1,780",,981,,-799,
Hopewell Culture NHP,,,,,983,974,,,-9,983,,974,,-9,
Hopewell Furnace NHS,,,,,"1,185","1,453",,,268,"1,185",,"1,453",,268,
Horseshoe Bend NMP,,,,,"3,001","2,984",,,-17,"3,001",,"2,984",,-17,
Hot Springs NP,,,,,"145,593","106,185",,,"-39,408","145,593",,"106,185",,"-39,408",
Hovenweep NM,,,,,414,261,,,-153,414,,261,,-153,
Hubbell Trading Post NHS,,,,,"2,641","2,732",,,91,"2,641",,"2,732",,91,
Ice Age NST,,,,,"2,602",797,,,"-1,805","2,602",,797,,"-1,805",
Independence NHP,,,,,"114,743","109,953",,,"-4,790","114,743",,"109,953",,"-4,790",
Indiana Dunes NP,,,,,"61,625","83,625",,,"22,000","61,625",,"83,625",,"22,000",
James A. Garfield NHS,,,,,937,760,,,-177,937,,760,,-177,
Jean Lafitte NHP & PRES,,,,,"12,434","13,966",,,"1,532","12,434",,"13,966",,"1,532",
Jewel Cave NM,,,,,595,158,,,-437,595,,158,,-437,
Jimmy Carter NHP,,,,,"1,670","6,415",,,"4,745","1,670",,"6,415",,"4,745",
"John D. Rockefeller, Jr. MEM PKWY",,,,,504,"1,640",,,"1,136",504,,"1,640",,"1,136",
John Day Fossil Beds NM,,,,,"1,716","1,781",,,65,"1,716",,"1,781",,65,
John F. Kennedy NHS,,,,,16,127,,,111,16,,127,,111,
John Muir NHS,,,,,"3,078","2,776",,,-302,"3,078",,"2,776",,-302,
Johnstown Flood NMEM,,,,,"1,517","2,705",,,"1,188","1,517",,"2,705",,"1,188",
Joshua Tree NP,,,,,"251,664","278,104",,,"26,440","251,664",,"278,104",,"26,440",
Kalaupapa NHP,,,,,"3,904","2,930",,,-974,"3,904",,"2,930",,-974,
Kaloko Honokohau NHP,,,,,"34,734","32,785",,,"-1,949","34,734",,"32,785",,"-1,949",
Katahdin Woods and Waters NM,,,,,"3,698","1,124",,,"-2,574","3,698",,"1,124",,"-2,574",
Kenai Fjords NP,,,,,46,33,,,-13,46,,33,,-13,
Kennesaw Mountain NBP,,,,,"70,616","64,280",,,"-6,336","70,616",,"64,280",,"-6,336",
Keweenaw NHP,,,,,39,47,,,8,39,,47,,8,
Kings Canyon NP,,,,,"15,631","23,451",,,"7,820","15,631",,"23,451",,"7,820",
Kings Mountain NMP,,,,,"9,925","12,737",,,"2,812","9,925",,"12,737",,"2,812",
Klondike Gold Rush NHP Seattle,,,,,"3,045","3,631",,,586,"3,045",,"3,631",,586,
Knife River Indian Villages NHS,,,,,46,51,,,5,46,,51,,5,
Kobuk Valley NP,,,,,867,882,,,15,867,,882,,15,
Korean War Veterans MEM,,,,,"142,905","135,334",,,"-7,571","142,905",,"135,334",,"-7,571",
Lake Chelan NRA,,,,,946,"1,028",,,82,946,,"1,028",,82,
Lake Mead NRA,,,,,"409,137","374,370",,,"-34,767","409,137",,"374,370",,"-34,767",
Lake Meredith NRA,,,,,"30,508","52,157",,,"21,649","30,508",,"52,157",,"21,649",
Lake Roosevelt NRA,,,,,"32,244","38,581",,,"6,337","32,244",,"38,581",,"6,337",
Lassen Volcanic NP,,,,,"7,116","7,527",,,411,"7,116",,"7,527",,411,
Lava Beds NM,,,,,"3,210","7,364",,,"4,154","3,210",,"7,364",,"4,154",
LBJ Memorial Grove on the Potomac,,,,,"9,408","9,450",,,42,"9,408",,"9,450",,42,
Lewis & Clark NHP,,,,,"8,408","11,156",,,"2,748","8,408",,"11,156",,"2,748",
Lincoln Boyhood NMEM,,,,,"1,556","2,038",,,482,"1,556",,"2,038",,482,
Lincoln Home NHS,,,,,"2,110","2,297",,,187,"2,110",,"2,297",,187,
Lincoln MEM,,,,,"368,437","348,917",,,"-19,520","368,437",,"348,917",,"-19,520",
Little Bighorn Battlefield NM,,,,,519,267,,,-252,519,,267,,-252,
Little River Canyon NPRES,,,,,"31,319","36,504",,,"5,185","31,319",,"36,504",,"5,185",
Little Rock Central High School NHS,,,,,"2,377","2,338",,,-39,"2,377",,"2,338",,-39,
Longfellow House Washington's HQ NHS,,,,,"2,729","1,900",,,-829,"2,729",,"1,900",,-829,
Lowell NHP,,,,,"4,807","5,158",,,351,"4,807",,"5,158",,351,
Lyndon B. Johnson NHP,,,,,"9,939","3,144",,,"-6,795","9,939",,"3,144",,"-6,795",
Maggie L. Walker NHS,,,,,167,337,,,170,167,,337,,170,
Mammoth Cave NP,,,,,"18,190","16,250",,,"-1,940","18,190",,"16,250",,"-1,940",
Manassas NBP,,,,,"23,232","24,718",,,"1,486","23,232",,"24,718",,"1,486",
Manhattan Project NHP,,,,,916,"3,375",,,"2,459",916,,"3,375",,"2,459",
Manzanar NHS,,,,,"4,118","4,263",,,145,"4,118",,"4,263",,145,
Marsh-Billings-Rockefeller NHP,,,,,"2,008","1,547",,,-461,"2,008",,"1,547",,-461,
"Martin Luther King, Jr. MEM",,,,,"116,171","94,219",,,"-21,952","116,171",,"94,219",,"-21,952",
"Martin Luther King, Jr. NHP",,,,,"155,090","75,916",,,"-79,174","155,090",,"75,916",,"-79,174",
Martin Van Buren NHS,,,,,908,403,,,-505,908,,403,,-505,
Mary McLeod Bethune Council House NHS,,,,,78,126,,,48,78,,126,,48,
Medgar and Myrlie Evers Home NM,,,,,"5,156","6,141",,,985,"5,156",,"6,141",,985,
Mesa Verde NP,,,,,"5,392","6,632",,,"1,240","5,392",,"6,632",,"1,240",
Mill Springs Battlefield NM,,,,,216,238,,,22,216,,238,,22,
Minute Man NHP,,,,,"41,344","27,676",,,"-13,668","41,344",,"27,676",,"-13,668",
Minuteman Missile NHS,,,,,418,483,,,65,418,,483,,65,
Mississippi NRRA,,,,,"19,643","13,309",,,"-6,334","19,643",,"13,309",,"-6,334",
Missouri NRR,,,,,"7,379","7,000",,,-379,"7,379",,"7,000",,-379,
Mojave NPRES,,,,,"23,477","58,193",,,"34,716","23,477",,"58,193",,"34,716",
Monocacy NB,,,,,"6,137","4,590",,,"-1,547","6,137",,"4,590",,"-1,547",
