Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Manzanar NHS,,,,,"6,176","6,394",,,218,"6,176",,"6,394",,218,
Marsh-Billings-Rockefeller NHP,,,,,"4,016","3,094",,,-922,"4,016",,"3,094",,-922,
"Martin Luther King, Jr. MEM",,,,,"58,085","47,109",,,"-10,976","58,085",,"47,109",,"-10,976",
"Martin Luther King, Jr. NHP",,,,,"251,479","116,274",,,"-135,205","251,479",,"116,274",,"-135,205",
Martin Van Buren NHS,,,,,945,403,,,-542,945,,403,,-542,
Mary McLeod Bethune Council House NHS,,,,,156,252,,,96,156,,252,,96,
Medgar and Myrlie Evers Home NM,,,,,"2,578","3,071",,,493,"2,578",,"3,071",,493,
Mesa Verde NP,,,,,"24,265","29,843",,,"5,578","24,265",,"29,843",,"5,578",
Mill Springs Battlefield NM,,,,,433,477,,,44,433,,477,,44,
Minute Man NHP,,,,,"62,016","41,514",,,"-20,502","62,016",,"41,514",,"-20,502",
Minuteman Missile NHS,,,,,395,403,,,8,395,,403,,8,
Mississippi NRRA,,,,,"31,643","18,309",,,"-13,334","31,643",,"18,309",,"-13,334",
Missouri NRR,,,,,"7,379","7,000",,,-379,"7,379",,"7,000",,-379,
Mojave NPRES,,,,,"144,245","362,597",,,"218,352","144,245",,"362,597",,"218,352",
Monocacy NB,,,,,"13,225","11,561",,,"-1,664","13,225",,"11,561",,"-1,664",
Montezuma Castle NM,,,,,"22,714","25,113",,,"2,399","22,714",,"25,113",,"2,399",
Moores Creek NB,,,,,"2,286","1,884",,,-402,"2,286",,"1,884",,-402,
Morristown NHP,,,,,"12,196","11,990",,,-206,"12,196",,"11,990",,-206,
Mount Rainier NP,,,,,"85,349","140,262",,,"54,913","85,349",,"140,262",,"54,913",
Mount Rushmore NMEM,,,,,"18,790","19,677",,,887,"18,790",,"19,677",,887,
Muir Woods NM,,,,,"52,527","65,981",,,"13,454","52,527",,"65,981",,"13,454",
Natchez NHP,,,,,"3,980","2,891",,,"-1,089","3,980",,"2,891",,"-1,089",
Natchez Trace PKWY,,,,,"2,058,105","2,243,096",,,"184,991","2,058,105",,"2,243,096",,"184,991",
National Capital Parks Central,,,,,"20,064","11,705",,,"-8,359","20,064",,"11,705",,"-8,359",
National Capital Parks East,,,,,"82,812","114,371",,,"31,559","82,812",,"114,371",,"31,559",
National Park of American Samoa,,,,,"2,758","5,897",,,"3,139","2,758",,"5,897",,"3,139",
Natural Bridges NM,,,,,"4,358","6,169",,,"1,811","4,358",,"6,169",,"1,811",
Navajo NM,,,,,"1,779","3,414",,,"1,635","1,779",,"3,414",,"1,635",
New Bedford Whaling NHP,,,,,23,26,,,3,23,,26,,3,
New Orleans Jazz NHP,,,,,"4,898","4,251",,,-647,"4,898",,"4,251",,-647,
New River Gorge NP & PRES,,,,,"72,220","74,164",,,"1,944","72,220",,"74,164",,"1,944",
Nez Perce NHP,,,,,"7,966","8,467",,,501,"7,966",,"8,467",,501,
Nicodemus NHS,,,,,48,57,,,9,48,,57,,9,
Ninety Six NHS,,,,,"6,148","4,166",,,"-1,982","6,148",,"4,166",,"-1,982",
Niobrara NSR,,,,,"1,536","1,244",,,-292,"1,536",,"1,244",,-292,
Noatak NPRES,,,,,"20,817","20,247",,,-570,"20,817",,"20,247",,-570,
North Cascades NP,,,,,466,506,,,40,466,,506,,40,
Obed W&SR,,,,,"73,390","54,682",,,"-18,708","73,390",,"54,682",,"-18,708",
Ocmulgee Mounds NHP,,,,,"11,968","10,493",,,"-1,475","11,968",,"10,493",,"-1,475",
Olympic NP,,,,,"194,372","239,590",,,"45,218","194,372",,"239,590",,"45,218",
Oregon Caves NM & PRES,,,,,"1,482","1,296",,,-186,"1,482",,"1,296",,-186,
Organ Pipe Cactus NM,,,,,"205,213","232,136",,,"26,923","205,213",,"232,136",,"26,923",
Ozark NSR,,,,,"18,690","10,723",,,"-7,967","18,690",,"10,723",,"-7,967",
Padre Island NS,,,,,"199,712","315,819",,,"116,107","199,712",,"315,819",,"116,107",
Palo Alto Battlefield NHP,,,,,"18,622","28,382",,,"9,760","18,622",,"28,382",,"9,760",
Paterson Great Falls NHP,,,,,"13,801","12,364",,,"-1,437","13,801",,"12,364",,"-1,437",
Pea Ridge NMP,,,,,"9,393","7,144",,,"-2,249","9,393",,"7,144",,"-2,249",
Pearl Harbor NMEM,,,,,"350,739","369,354",,,"18,615","350,739",,"369,354",,"18,615",
Pecos NHP,,,,,"1,739","1,799",,,60,"1,739",,"1,799",,60,
Pennsylvania Avenue NHS,,,,,"3,282","3,418",,,136,"3,282",,"3,418",,136,
Perry's Victory & Intl. Peace MEM,,,,,244,224,,,-20,244,,224,,-20,
Petersburg NB,,,,,"6,443","43,741",,,"37,298","6,443",,"43,741",,"37,298",
Petrified Forest NP,,,,,"55,494","58,186",,,"2,692","55,494",,"58,186",,"2,692",
Petroglyph NM,,,,,"50,007","46,056",,,"-3,951","50,007",,"46,056",,"-3,951",
Pictured Rocks NL,,,,,"18,068","24,958",,,"6,890","18,068",,"24,958",,"6,890",
Pinnacles NP,,,,,"116,879","261,919",,,"145,040","116,879",,"261,919",,"145,040",
Pipe Spring NM,,,,,788,"1,154",,,366,788,,"1,154",,366,
Pipestone NM,,,,,869,"1,450",,,581,869,,"1,450",,581,
Piscataway Park,,,,,"11,432","19,640",,,"8,208","11,432",,"19,640",,"8,208",
Point Reyes NS,,,,,"755,383","853,007",,,"97,624","755,383",,"853,007",,"97,624",
Port Chicago Naval Magazine NMEM,,,,,224,198,,,-26,224,,198,,-26,
President W.J. Clinton Birthplace Home NHS,,,,,137,237,,,100,137,,237,,100,
President's Park,,,,,"46,337","46,337",,,0,"46,337",,"46,337",,0,
Prince William Forest Park,,,,,"64,096","123,124",,,"59,028","64,096",,"123,124",,"59,028",
Pullman NHP,,,,,426,522,,,96,426,,522,,96,
Pu'uhonua o Honaunau NHP,,,,,"38,134","31,759",,,"-6,375","38,134",,"31,759",,"-6,375",
Pu'ukohola Heiau NHS,,,,,977,"1,289",,,312,977,,"1,289",,312,
Rainbow Bridge NM,,,,,0,106,,,106,0,,106,,106,
Reconstruction Era NHP,,,,,435,419,,,-16,435,,419,,-16,
Redwood NP,,,,,"68,023","173,076",,,"105,053","68,023",,"173,076",,"105,053",
Richmond NBP,,,,,"17,121","17,128",,,7,"17,121",,"17,128",,7,
Rio Grande W&SR,,,,,0,"1,500",,,"1,500",0,,"1,500",,"1,500",
River Raisin NBP,,,,,"34,958","20,782",,,"-14,176","34,958",,"20,782",,"-14,176",
Rock Creek Park,,,,,"123,769","150,775",,,"27,006","123,769",,"150,775",,"27,006",
Rocky Mountain NP,,,,,"670,341","585,384",,,"-84,957","670,341",,"585,384",,"-84,957",
Roger Williams NMEM,,,,,386,636,,,250,386,,636,,250,
Rosie The Riveter WWII Home Front NHP,,,,,"7,161","7,845",,,684,"7,161",,"7,845",,684,
Ross Lake NRA,,,,,"7,171","7,663",,,492,"7,171",,"7,663",,492,
