ParkName,Date,RecreationVisits,predicted,lower_bound,upper_bound
Rocky Mountain NP,2013-11-01,86379.0,-25570.7685281148,-107546.0808146933,56404.5437584637
Rocky Mountain NP,2014-09-01,537694.0,355263.8125955195,273288.50033553806,437239.124855501
Rocky Mountain NP,2014-11-01,90915.0,207441.71121097455,125466.39895216987,289417.02346977923
Rocky Mountain NP,2015-07-01,858426.0,753499.5338232999,671524.2215781104,835474.8460684895
Rocky Mountain NP,2016-06-01,700990.0,610439.7552226508,528464.442986642,692415.0674586596
Rocky Mountain NP,2016-09-01,711110.0,626954.6337900185,544979.3215552799,708929.9460247571
Rocky Mountain NP,2017-06-01,741247.0,645600.1775215701,563624.8652912306,727575.4897519096
Rocky Mountain NP,2018-09-01,784480.0,681254.5364277519,599279.2242010047,763229.848654499
Rocky Mountain NP,2018-10-01,312757.0,439793.73467258166,357818.4224459118,521769.0468992515
Rocky Mountain NP,2020-04-01,0.0,127475.9919190623,45500.67969459064,209451.30414353398
Rocky Mountain NP,2020-05-01,63051.0,177657.07394767497,95681.76172326684,259632.3861720831
Rocky Mountain NP,2020-10-01,297665.0,200980.71699232404,119005.40476812569,282956.0292165224
Rocky Mountain NP,2021-04-01,183792.0,88691.1838059145,6715.871582061431,170666.49602976756
Rocky Mountain NP,2021-05-01,335060.0,239896.88942920644,157921.5772053891,321872.2016530238
Rocky Mountain NP,2021-09-01,521233.0,641080.7293583875,559105.4171346743,723056.0415821008
Rocky Mountain NP,2022-09-01,650863.0,521653.25272946304,439677.9405060358,603628.5649528903
Rocky Mountain NP,2022-11-01,131655.0,251646.96025898764,169671.64803557267,333622.2724824026
Rocky Mountain NP,2023-06-01,576304.0,679966.688628729,597991.3764054396,761942.0008520184
Saguaro NP,1992-04-01,175295.0,83304.50359712995,45757.98287147136,120851.02432278855
Saguaro NP,1992-05-01,62873.0,111957.26125351258,74411.21105904042,149503.31144798474
Saguaro NP,1993-03-01,169803.0,103156.53259236811,65618.37731856584,140694.68786617037
Saguaro NP,1993-04-01,91142.0,138524.275906918,100986.4727338769,176062.07907995908
Saguaro NP,2019-01-01,48968.0,90197.93317134958,52677.18986678323,127718.67647591593
Saguaro NP,2019-02-01,149371.0,86021.06039777484,48500.31710369624,123541.80369185345
Saguaro NP,2020-03-01,98901.0,160224.16363441423,122703.42048064289,197744.9067881856
Saguaro NP,2020-04-01,22820.0,80474.88130745121,42954.13815888877,117995.62445601367
Saguaro NP,2020-12-01,163339.0,63869.84839959912,26349.105284496603,101390.59151470163
Saguaro NP,2021-01-01,186505.0,135514.48364598345,97993.74057084895,173035.22672111794
Saguaro NP,2021-05-01,37630.0,84611.45483536144,47090.71177520138,122132.1978955215
Saguaro NP,2025-03-01,68467.0,136170.8286363121,98650.08570769895,173691.57156492525
Sequoia NP,1979-06-01,101152.0,52989.130755615144,15850.669075398597,90127.5924358317
Sequoia NP,1979-07-01,146109.0,82507.00430648646,45472.769634442586,119541.23897853034
Sequoia NP,1979-08-01,163110.0,118665.47053203409,81692.0239728569,155638.91709121127
Sequoia NP,1979-10-01,51956.0,94640.89444634852,57692.35857600287,131589.43031669417
Sequoia NP,1981-08-01,223365.0,190236.2581484756,158198.4676942404,222274.04860271083
Sequoia NP,1981-10-01,74986.0,113956.42496131736,81922.74916580133,145990.1007568334
Sequoia NP,1982-09-01,128234.0,162895.24845860666,131725.3034441502,194065.19347306312
Sequoia NP,1983-05-01,36738.0,76071.14488165155,45431.42385985599,106710.8659034471
Sequoia NP,1983-08-01,174687.0,207678.6287140668,177061.3676074711,238295.88982066253
Sequoia NP,1992-05-01,159885.0,114504.19227169926,85354.8695307931,143653.5150126054
Sequoia NP,1992-06-01,135323.0,176308.34534503266,147160.01325334795,205456.67743671738
Sequoia NP,1992-07-01,152436.0,183058.23660977674,153910.57594980753,212205.89726974594
Sequoia NP,1992-08-01,135615.0,178421.4386830983,149274.1147105061,207568.7626556905
Sequoia NP,1994-05-01,158701.0,95342.31143095998,66282.95018829596,124401.672673624
Sequoia NP,1994-06-01,129570.0,166335.1179911926,137276.4423832331,195393.79359915206
Sequoia NP,1995-05-01,81563.0,124229.7065417666,95205.44659283564,153253.96649069755
Sequoia NP,1995-07-01,206392.0,174088.0736182253,145064.77767634203,203111.36956010855
Sequoia NP,1995-08-01,163897.0,198613.94545146154,169590.83828509596,227637.0526178271
Sequoia NP,1995-09-01,59699.0,107051.53187534757,78028.46131782308,136074.60243287208
Sequoia NP,1997-05-01,153230.0,105502.31598277252,76533.91041753409,134470.72154801094
Sequoia NP,1997-06-01,129033.0,159077.19536635157,130109.20613241167,188045.18460029148
Sequoia NP,1999-05-01,72830.0,110626.68683154788,81699.84144242728,139553.53222066848
Sequoia NP,2004-07-01,196589.0,166916.24822000068,138054.5025193543,195777.99392064704
Sequoia NP,2012-08-01,255984.0,177126.82726030058,148310.29423584696,205943.3602847542
Sequoia NP,2013-07-01,161286.0,193337.4607766579,164523.97676301966,222150.94479029617
Sequoia NP,2013-10-01,28702.0,60402.48401608123,31589.027325528074,89215.94070663438
Sequoia NP,2020-03-01,16625.0,68423.18570486968,39623.088239323246,97223.28317041612
Sequoia NP,2020-04-01,0.0,52797.77904820358,23997.712595067143,81597.84550134001
Sequoia NP,2020-05-01,0.0,68620.70909703858,39820.66828753709,97420.74990654006
Sequoia NP,2020-07-01,194892.0,128648.79248538535,99848.78411526902,157448.80085550167
Sequoia NP,2020-09-01,88313.0,128634.01918461757,99834.01765181725,157434.02071741788
Sequoia NP,2020-11-01,66044.0,35504.02889173076,6704.0669780546195,64303.99080540691
Sequoia NP,2021-01-01,65177.0,29800.642793648476,1001.6260208671338,58599.65956642982
Sequoia NP,2021-07-01,182423.0,223802.39548974964,195003.52906431435,252601.26191518494
Sequoia NP,2021-09-01,50597.0,94406.32517085556,65607.46478775199,123205.18555395913
Sequoia NP,2022-09-01,127041.0,96422.47696468474,67624.62628884581,125220.32764052367
Sequoia NP,2023-03-01,5214.0,49613.129251910825,20816.105743565953,78410.1527602557
Sequoia NP,2023-07-01,186932.0,153944.9359725443,125147.97411131907,182741.89783376956
Sequoia NP,2023-09-01,142544.0,112756.92574577214,83959.96860741424,141553.88288413006
Shenandoah NP,1979-04-01,132350.0,38858.03162331725,-30144.22408712044,107860.28733375494
Shenandoah NP,1979-05-01,147045.0,72705.68793929863,4623.82296322925,140787.552915368
Shenandoah NP,1979-07-01,185666.0,95259.26026015595,28197.673468108333,162320.84705220355
Shenandoah NP,1979-08-01,217006.0,120632.34747190827,53859.48829988479,187405.20664393174
Shenandoah NP,1979-10-01,291735.0,136220.53060149486,69737.13870042383,202703.9225025659
Shenandoah NP,1979-11-01,93001.0,192902.4493733565,126420.05787356445,259384.84087314855
Shenandoah NP,1979-12-01,37355.0,160378.93191417947,95654.22643458011,225103.63739377883
Shenandoah NP,1980-01-01,22968.0,130391.03813115552,67675.09844069461,193106.97782161646
Shenandoah NP,1980-02-01,22352.0,102640.00521829435,40383.94394435062,164896.06649223808
Shenandoah NP,1980-03-01,49132.0,119733.09365740948,57793.12732116473,181673.05999365423
Shenandoah NP,1980-11-01,85970.0,170431.35730186038,109224.40974613556,231638.3048575852
Shenandoah NP,1980-12-01,22861.0,112283.75663456555,51731.25118532226,172836.26208380883
Shenandoah NP,1981-11-01,67573.0,152519.99381449146,93009.4524255443,212030.53520343863
Shenandoah NP,1987-10-01,411659.0,329091.27667085966,270718.96034951595,387463.59299220337
Shenandoah NP,1990-11-01,126480.0,66442.0577579707,8076.741635866194,124807.3738800752
Shenandoah NP,1992-08-01,197603.0,280656.081873064,222291.28141262254,339020.88233350543
Shenandoah NP,1993-04-01,172176.0,112381.27730543053,54016.54125976171,170746.01335109933
Shenandoah NP,1995-10-01,293109.0,390412.07180498773,332047.3863685931,448776.7572413824
Shenandoah NP,1996-09-01,117518.0,183013.10596853035,124648.42633096894,241377.78560609175
Shenandoah NP,1997-10-01,261344.0,323217.1898608367,264852.5127982531,381581.86692342034
Shenandoah NP,2000-10-01,346913.0,286961.88604747533,228597.2108064747,345326.561288476
Shenandoah NP,2002-10-01,193166.0,305331.55247358035,246966.87736770196,363696.22757945873
Shenandoah NP,2005-10-01,161907.0,238117.6924289979,179753.0173525131,296482.3675054827
Shenandoah NP,2005-11-01,115249.0,41603.169640133565,-16761.505436346313,99967.84471661344
