year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1984,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1954648,32.4701905338934,-6.6131600165349465,12.871013092894476
1988,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1825384,-6.6131600165349465,20.863938765761066,-4.920882400634606
1992,MONTANA,MT,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,2206231,20.863938765761066,-21.33375879497659,-21.217723801360783
1996,MONTANA,MT,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1735559,-21.33375879497659,0.14750290828488113,17.715848323220357
2000,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1738119,0.14750290828488113,17.54246976185175,5.0886044051069
2004,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,2043028,17.54246976185175,-10.595204764692408,6.790900565239438
2008,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1826565,-10.595204764692408,19.446502040715767,62.18990290517994
2012,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,2181768,19.446502040715767,35.78455637813003,-22.133609073008678
2016,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,2962504,35.78455637813003,-42.65445717541647,
2020,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1698864,-42.65445717541647,,
1980,NEVADA,NV,REPUBLICAN,REPUBLICAN,False,No Flip,33983,,14.536680104758263,121.07524350410499
1984,NEVADA,NV,REPUBLICAN,REPUBLICAN,False,No Flip,38923,14.536680104758263,93.01698224700048,82.01320555969478
1988,NEVADA,NV,REPUBLICAN,REPUBLICAN,False,No Flip,75128,93.01698224700048,-5.700937067404962,16.310829517623258
1992,NEVADA,NV,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,70845,-5.700937067404962,23.34250829275178,14.397628625873384
1996,NEVADA,NV,DEMOCRAT,DEMOCRAT,False,No Flip,87382,23.34250829275178,-7.2520656428097325,-7.819688265317799
2000,NEVADA,NV,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,81045,-7.2520656428097325,-0.6120056758590907,-13.720772410389289
2004,NEVADA,NV,REPUBLICAN,REPUBLICAN,False,No Flip,80549,-0.6120056758590907,-13.189487144471068,18.617239196017334
2008,NEVADA,NV,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,69925,-13.189487144471068,36.63925634608509,108.05577404361817
2012,NEVADA,NV,DEMOCRAT,DEMOCRAT,False,No Flip,95545,36.63925634608509,52.26647129624784,27.058454131561042
2016,NEVADA,NV,DEMOCRAT,DEMOCRAT,False,No Flip,145483,52.26647129624784,-16.555198889217294,
2020,NEVADA,NV,DEMOCRAT,DEMOCRAT,False,No Flip,121398,-16.555198889217294,,
1980,NEW MEXICO,NM,REPUBLICAN,REPUBLICAN,False,No Flip,1205393,,4.239862020104646,11.368906240537319
