State,Year,Decade,StateCategory,RepublicanPct,TotalVisits,YoYChange
MI,2011,2010,Swing,41.66666666666667,16036,0.8997671931038823
MI,2012,2010,Swing,41.66666666666667,16704,4.1656273384884015
MI,2013,2010,Swing,41.66666666666667,16383,-1.9216954022988504
MI,2014,2010,Swing,41.66666666666667,14726,-10.114142708905574
MI,2015,2010,Swing,41.66666666666667,18826,27.841912264022817
MI,2016,2010,Swing,41.66666666666667,25039,33.00223095718687
MI,2017,2010,Swing,41.66666666666667,28329,13.139502376292983
MI,2018,2010,Swing,41.66666666666667,25956,-8.3765752409192
MI,2019,2010,Swing,41.66666666666667,26701,2.870241947911851
MI,2020,2020,Swing,41.66666666666667,6643,-75.12078199318377
MI,2021,2020,Swing,41.66666666666667,25932,290.3657985849767
MI,2022,2020,Swing,41.66666666666667,25576,-1.372821224741632
MI,2023,2020,Swing,41.66666666666667,29059,13.618235846105724
MI,2024,2020,Swing,41.66666666666667,28874,-0.6366358099039885
MN,1980,1980,Blue,0.0,272414,35.25614927062749
MN,1981,1980,Blue,0.0,261722,-3.9249084114619657
MN,1982,1980,Blue,0.0,148313,-43.33185593874416
MN,1983,1980,Blue,0.0,164206,10.715850936869998
MN,1984,1980,Blue,0.0,180731,10.063578675566056
MN,1985,1980,Blue,0.0,211855,17.22117400999275
MN,1986,1980,Blue,0.0,184849,-12.74739798447051
MN,1987,1980,Blue,0.0,218434,18.168883791635334
MN,1988,1980,Blue,0.0,240621,10.157301518994295
MN,1989,1980,Blue,0.0,231740,-3.6908665494699138
MN,1990,1990,Blue,0.0,243822,5.213601449900751
MN,1991,1990,Blue,0.0,240911,-1.1939037494565707
MN,1992,1990,Blue,0.0,244503,1.4910070523969432
MN,1993,1990,Blue,0.0,245248,0.3046997378355276
MN,1994,1990,Blue,0.0,240088,-2.103992693110647
MN,1995,1990,Blue,0.0,226104,-5.8245310052980575
MN,1996,1990,Blue,0.0,260226,15.091285426175565
MN,1997,1990,Blue,0.0,236563,-9.09324971371039
MN,1998,1990,Blue,0.0,249661,5.536791467811957
MN,1999,1990,Blue,0.0,246749,-1.1663816134678624
MN,2000,2000,Blue,0.0,229998,-6.788679994650434
MN,2001,2000,Blue,0.0,245954,6.937451630014174
MN,2002,2000,Blue,0.0,240807,-2.0926677346170424
MN,2003,2000,Blue,0.0,236811,-1.659420199578916
MN,2004,2000,Blue,0.0,251621,6.253932460907643
MN,2005,2000,Blue,0.0,237157,-5.748327842270717
MN,2006,2000,Blue,0.0,234455,-1.1393296423887973
MN,2007,2000,Blue,0.0,223226,-4.789405216352819
MN,2008,2000,Blue,0.0,224165,0.4206499242919732
MN,2009,2000,Blue,0.0,225009,0.3765083755269556
MN,2010,2010,Blue,0.0,256471,13.982551809038748
MN,2011,2010,Blue,0.0,179119,-30.160135064003335
MN,2012,2010,Blue,0.0,215614,20.374722949547508
MN,2013,2010,Blue,0.0,234140,8.592206442995352
MN,2014,2010,Blue,0.0,239160,2.144016400444179
MN,2015,2010,Blue,0.0,238313,-0.3541562134136143
MN,2016,2010,Blue,0.0,241912,1.510198772202943
